user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
4746,331,4,203.94,2,4,4,244,Нельзя потерять
4393,89,3,204.03,5,3,4,534,Потенциальные лоялисты
2950,384,3,204.08,1,3,4,134,Обычные клиенты
4952,172,5,204.18,4,4,4,444,Лояльные клиенты
4834,394,4,204.24,1,4,4,144,Нельзя потерять
3678,371,5,204.29,2,5,4,254,Нельзя потерять
4352,96,3,204.29,5,3,4,534,Потенциальные лоялисты
3556,176,5,204.32,4,4,4,444,Лояльные клиенты
1104,416,4,204.34,1,4,4,144,Нельзя потерять
1014,151,4,204.57,4,4,4,444,Лояльные клиенты
1588,94,5,204.62,5,4,4,544,Лояльные клиенты
4717,205,5,204.88,4,4,4,444,Лояльные клиенты
3510,106,5,204.95,5,5,4,554,Лояльные клиенты
3699,322,5,205.1,2,4,4,244,Нельзя потерять
284,148,5,205.22,4,4,4,444,Лояльные клиенты
4619,401,6,205.26,1,5,4,154,Нельзя потерять
4767,51,2,205.27,5,2,4,524,Потенциальные лоялисты
1786,383,3,205.28,1,3,4,134,Обычные клиенты
1482,285,3,205.68,3,3,4,334,Обычные клиенты
1988,149,7,205.93,4,5,4,454,Лояльные клиенты
3669,172,3,205.96,4,2,4,424,Потенциальные лоялисты
2169,217,5,206.16,4,5,4,454,Лояльные клиенты
4334,300,3,206.55,2,2,4,224,Засыпающие
3822,45,3,206.62,5,2,4,524,Потенциальные лоялисты
2227,401,5,206.66,1,4,4,144,Нельзя потерять
2829,124,4,206.72,5,3,4,534,Потенциальные лоялисты
2072,294,5,206.75,3,4,4,344,Обычные клиенты
4562,302,4,207.08,2,4,4,244,Нельзя потерять
3288,24,6,207.12,5,5,4,554,Лояльные клиенты
4700,158,4,207.38,4,4,4,444,Лояльные клиенты
4195,198,4,207.46,4,4,4,444,Лояльные клиенты
1020,243,4,207.5,3,3,4,334,Обычные клиенты
4878,115,5,207.54,5,5,4,554,Лояльные клиенты
1424,110,4,207.61,5,3,4,534,Потенциальные лоялисты
4042,301,2,207.69,2,2,4,224,Засыпающие
103,448,4,207.83,1,4,4,144,Нельзя потерять
2435,173,3,207.94,4,2,4,424,Потенциальные лоялисты
4201,115,5,207.99,5,5,4,554,Лояльные клиенты
3212,206,5,208.05,4,4,4,444,Лояльные клиенты
4299,366,6,208.08,2,5,4,254,Нельзя потерять
4172,129,5,208.12,5,5,4,554,Лояльные клиенты
3475,172,4,208.21,4,4,4,444,Лояльные клиенты
683,275,5,208.29,3,5,4,354,Обычные клиенты
3340,290,4,208.96,3,4,4,344,Обычные клиенты
3580,173,4,209.22,4,4,4,444,Лояльные клиенты
4585,71,6,209.46,5,5,4,554,Лояльные клиенты
4056,376,6,209.49,2,5,4,254,Нельзя потерять
1192,213,6,209.5,4,5,4,454,Лояльные клиенты
4549,231,5,209.83,3,5,4,354,Обычные клиенты
3579,351,4,209.84,2,4,4,244,Нельзя потерять
3296,287,4,210.14,3,4,4,344,Обычные клиенты
2991,240,6,210.25,3,5,4,354,Обычные клиенты
3071,130,4,210.37,5,3,4,534,Потенциальные лоялисты
2248,200,3,210.41,4,3,4,434,Потенциальные лоялисты
521,382,5,210.42,1,4,4,144,Нельзя потерять
2148,24,7,211.71,5,5,4,554,Лояльные клиенты
3357,275,5,211.84,3,5,4,354,Обычные клиенты
740,419,3,212.04,1,3,4,134,Обычные клиенты
3838,421,4,212.18,1,4,4,144,Нельзя потерять
2737,128,3,212.34,5,3,4,534,Потенциальные лоялисты
1718,187,6,212.46,4,5,4,454,Лояльные клиенты
1547,38,6,212.51,5,5,4,554,Лояльные клиенты
2752,162,5,212.55,4,4,4,444,Лояльные клиенты
1606,382,4,212.62,1,4,4,144,Нельзя потерять
486,317,5,212.67,2,4,4,244,Нельзя потерять
3854,251,6,213.02,3,5,4,354,Обычные клиенты
4436,320,3,213.14,2,2,4,224,Засыпающие
2051,193,6,213.44,4,5,4,454,Лояльные клиенты
2784,166,5,213.49,4,4,4,444,Лояльные клиенты
798,332,3,213.61,2,2,4,224,Засыпающие
285,147,6,213.73,4,5,4,454,Лояльные клиенты
2194,265,6,213.75,3,5,4,354,Обычные клиенты
3493,125,4,213.96,5,3,4,534,Потенциальные лоялисты
632,162,7,213.98,4,5,4,454,Лояльные клиенты
2645,280,6,214.09,3,5,4,354,Обычные клиенты
2172,366,4,214.36,2,3,4,234,Обычные клиенты
4986,317,3,214.49,2,2,4,224,Засыпающие
3744,400,5,214.7,1,4,4,144,Нельзя потерять
1639,401,5,214.86,1,4,4,144,Нельзя потерять
22,113,5,214.95,5,5,4,554,Лояльные клиенты
3643,103,3,215.47,5,3,4,534,Потенциальные лоялисты
